GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
2019-02-16,0,0,0,ARI
2019-02-19,1,0,1,STL
2019-02-21,0,1,1,WSH
2019-02-23,1,1,2,MTL
2019-02-25,1,0,1,BUF
2019-02-27,0,1,1,EDM
2019-02-28,0,0,0,NYI
2019-03-02,0,1,1,BUF
2019-03-04,0,0,0,CGY
2019-03-06,0,0,0,VAN
2019-03-09,0,0,0,EDM
2019-03-11,1,0,1,TBL
2019-03-13,1,1,2,CHI
2019-03-15,2,0,2,PHI
2019-03-16,0,1,1,OTT
2019-03-19,0,0,0,NSH
2019-03-20,1,1,2,BUF
2019-03-23,0,0,0,NYR
2019-03-25,0,1,1,FLA
2019-03-27,1,1,2,PHI
2019-03-30,1,0,1,OTT
2019-04-01,0,0,0,NYI
2019-04-02,0,0,0,CAR
2019-04-04,0,0,0,TBL
2019-04-06,0,1,1,MTL
2019-10-02,2,0,2,OTT
2019-10-04,1,0,1,CBJ
2019-10-05,2,0,2,MTL
2019-10-07,0,0,0,STL
2019-10-10,1,1,2,TBL
2019-10-12,0,0,0,DET
2019-10-15,1,0,1,MIN
2019-10-16,0,0,0,WSH
2019-10-19,0,1,1,BOS
2019-10-21,1,1,2,CBJ
2019-10-22,0,0,0,BOS
2019-10-25,1,0,1,SJS
2019-10-26,0,1,1,MTL
2019-10-29,2,1,3,WSH
2019-11-02,0,0,0,PHI
2019-11-05,1,1,2,LAK
2019-11-07,1,0,1,VGK
2019-11-09,0,2,2,PHI
2019-11-10,0,4,4,CHI
2019-11-13,0,1,1,NYI
2019-11-15,1,0,1,BOS
2019-11-16,0,0,0,PIT
2019-11-19,0,0,0,VGK
2019-11-21,1,0,1,ARI
2019-11-23,1,1,2,COL
2019-11-27,0,0,0,DET
2019-11-29,0,0,0,BUF
2019-11-30,0,1,1,BUF
2019-12-03,0,0,0,PHI
2019-12-04,0,0,0,COL
2019-12-07,2,0,2,STL
2019-12-10,1,0,1,VAN
2019-12-12,0,0,0,CGY
