GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
2007-11-26,1,0,1,BUF
2007-11-28,0,0,0,FLA
2007-11-30,2,1,3,CAR
2007-12-01,1,1,2,FLA
2007-12-07,0,1,1,NJD
2007-12-08,1,1,2,ATL
2007-12-10,0,1,1,NJD
2007-12-12,1,0,1,NYR
2007-12-14,1,0,1,BUF
2007-12-15,0,0,0,TBL
2007-12-17,1,0,1,DET
2007-12-20,0,1,1,MTL
2007-12-22,1,0,1,NYI
2007-12-26,0,1,1,TBL
2007-12-27,1,0,1,PIT
2007-12-29,4,1,5,OTT
2008-01-01,0,2,2,OTT
2008-01-03,0,0,0,BOS
2008-01-05,2,0,2,MTL
2008-01-09,0,0,0,COL
2008-01-13,1,1,2,PHI
2008-01-15,1,0,1,OTT
2008-01-17,1,1,2,EDM
2008-01-19,1,1,2,FLA
2008-01-21,2,1,3,PIT
2008-01-23,1,0,1,TOR
2008-01-24,0,2,2,TOR
2008-01-29,0,0,0,MTL
2008-01-31,4,1,5,MTL
2008-02-02,0,0,0,ATL
2008-02-05,2,0,2,CBJ
2008-02-06,1,0,1,PHI
2008-02-08,0,0,0,CAR
2008-02-10,1,2,3,NYR
2008-02-13,1,1,2,ATL
2008-02-15,0,0,0,FLA
2008-02-16,0,0,0,TBL
2008-02-20,0,0,0,NYI
2008-02-23,0,3,3,CAR
2008-02-24,0,1,1,NJD
2008-02-26,0,0,0,MIN
2008-02-29,0,1,1,NJD
2008-03-01,1,1,2,TOR
2008-03-03,3,2,5,BOS
2008-03-05,2,0,2,BUF
2008-03-08,0,1,1,BOS
2008-03-09,0,2,2,PIT
2008-03-12,2,0,2,CGY
2008-03-14,1,1,2,ATL
2008-03-16,0,0,0,BOS
2008-03-18,1,2,3,NSH
2008-03-19,0,0,0,CHI
2008-03-21,2,2,4,ATL
2008-03-25,1,0,1,CAR
2008-03-27,0,0,0,TBL
2008-03-29,1,1,2,FLA
2008-04-01,1,0,1,CAR
2008-04-03,2,0,2,TBL
2008-04-05,0,0,0,FLA
2008-10-10,0,0,0,ATL
2008-10-11,2,0,2,CHI
2008-10-13,0,0,0,VAN
2008-10-16,0,0,0,PIT
2008-10-18,0,1,1,NJD
2008-10-21,0,1,1,CGY
2008-10-23,0,0,0,PHX
2008-10-25,0,1,1,DAL
2008-11-04,0,0,0,OTT
2008-11-06,0,3,3,CAR
2008-11-08,0,0,0,NYR
2008-11-10,1,1,2,TBL
2008-11-12,1,2,3,CAR
2008-11-14,1,1,2,NJD
2008-11-15,2,1,3,NJD
2008-11-19,1,3,4,ANA
2008-11-20,0,1,1,LAK
2008-11-22,0,1,1,SJS
2008-11-24,1,0,1,MIN
2008-11-26,3,1,4,ATL
2008-11-28,1,0,1,MTL
2008-11-29,0,0,0,CBJ
2008-12-02,0,1,1,FLA
2008-12-04,1,2,3,NYI
2008-12-06,0,0,0,TOR
2008-12-07,0,1,1,CAR
2008-12-10,1,1,2,BOS
2008-12-12,2,0,2,OTT
2008-12-13,0,1,1,MTL
2008-12-16,2,0,2,NYI
2008-12-18,1,0,1,STL
2008-12-20,0,0,0,PHI
2008-12-23,2,1,3,NYR
2008-12-26,1,0,1,BUF
2008-12-28,2,0,2,TOR
2008-12-30,0,0,0,BUF
2009-01-01,1,2,3,TBL
2009-01-03,1,0,1,NYR
2009-01-06,0,0,0,PHI
2009-01-09,0,0,0,CBJ
2009-01-10,0,1,1,MTL
2009-01-13,0,0,0,EDM
2009-01-14,2,1,3,PIT
2009-01-17,0,0,0,BOS
2009-01-19,2,0,2,NYI
2009-01-20,0,0,0,OTT
2009-01-27,0,1,1,BOS
2009-01-31,2,0,2,DET
2009-02-01,3,0,3,OTT
2009-02-03,0,2,2,NJD
2009-02-05,1,0,1,LAK
2009-02-07,0,1,1,FLA
2009-02-11,0,1,1,NYR
2009-02-14,1,0,1,TBL
2009-02-15,3,0,3,FLA
2009-02-18,1,0,1,MTL
2009-02-20,0,0,0,COL
2009-02-22,1,1,2,PIT
2009-02-24,1,1,2,PHI
2009-02-26,0,1,1,ATL
2009-02-28,1,0,1,BOS
2009-03-01,1,0,1,FLA
2009-03-03,0,1,1,CAR
2009-03-08,1,0,1,PIT
2009-03-10,0,1,1,NSH
2009-03-12,1,1,2,PHI
2009-03-14,1,1,2,CAR
2009-03-16,0,0,0,ATL
2009-03-17,0,1,1,FLA
2009-03-19,1,2,3,TBL
2009-03-21,0,1,1,CAR
2009-03-24,1,1,2,TOR
2009-03-27,2,2,4,TBL
2009-04-01,1,0,1,NYI
2009-04-03,1,2,3,BUF
2009-04-05,0,2,2,ATL
2009-04-07,0,2,2,ATL
2009-04-09,0,0,0,TBL
2009-04-11,1,1,2,FLA
2009-10-01,2,1,3,BOS
2009-10-03,1,2,3,TOR
2009-10-06,2,1,3,PHI
2009-10-08,0,0,0,NYR
2009-10-10,0,1,1,DET
2009-10-12,0,2,2,NJD
2009-10-15,2,0,2,SJS
2009-10-17,2,0,2,NSH
2009-10-22,0,0,0,ATL
2009-10-24,0,1,1,NYI
2009-10-27,2,0,2,PHI
2009-10-29,2,1,3,ATL
2009-10-30,1,0,1,NYI
2009-11-01,0,0,0,CBJ
2009-11-17,1,0,1,NYR
2009-11-20,0,0,0,MTL
2009-11-21,1,0,1,TOR
2009-11-23,0,1,1,OTT
2009-11-25,1,0,1,BUF
2009-11-28,1,1,2,MTL
2009-11-30,0,1,1,CAR
2009-12-07,2,0,2,TBL
2009-12-09,0,0,0,BUF
2009-12-11,0,2,2,CAR
2009-12-12,1,2,3,TOR
2009-12-15,0,1,1,COL
2009-12-18,0,0,0,VAN
2009-12-19,2,1,3,EDM
2009-12-23,1,2,3,BUF
2009-12-26,1,2,3,NJD
2009-12-28,0,2,2,CAR
2009-12-30,1,0,1,SJS
2010-01-02,0,0,0,LAK
2010-01-05,0,0,0,MTL
2010-01-07,1,2,3,OTT
2010-01-09,0,1,1,ATL
2010-01-12,0,2,2,TBL
2010-01-13,1,0,1,FLA
2010-01-15,1,4,5,TOR
2010-01-17,1,1,2,PHI
2010-01-19,0,1,1,DET
2010-01-21,2,1,3,PIT
2010-01-23,1,1,2,PHX
2010-01-26,0,0,0,NYI
2010-01-27,1,2,3,ANA
2010-01-29,0,1,1,FLA
2010-01-31,1,1,2,TBL
2010-02-02,1,0,1,BOS
2010-02-04,2,1,3,NYR
2010-02-05,1,1,2,ATL
2010-02-07,3,1,4,PIT
2010-02-10,0,2,2,MTL
2010-02-11,0,1,1,OTT
2010-02-13,0,0,0,STL
2010-03-03,0,0,0,BUF
2010-03-04,0,1,1,TBL
2010-03-06,0,0,0,NYR
2010-03-08,2,0,2,DAL
2010-03-10,0,2,2,CAR
2010-03-12,0,2,2,TBL
2010-03-14,0,0,0,CHI
2010-03-20,1,0,1,TBL
2010-03-24,0,1,1,PIT
2010-03-25,0,0,0,CAR
2010-03-28,1,1,2,CGY
2010-03-30,0,1,1,OTT
2010-04-01,0,1,1,ATL
2010-04-03,0,0,0,CBJ
2010-04-05,0,2,2,BOS
2010-04-06,2,0,2,PIT
2010-04-09,2,1,3,ATL
2010-04-11,0,0,0,BOS
2010-10-08,0,1,1,ATL
2010-10-09,2,1,3,NJD
2010-10-11,1,0,1,OTT
2010-10-13,1,1,2,NYI
2010-10-16,0,1,1,NSH
2010-10-19,0,0,0,BOS
2010-10-21,0,0,0,BOS
2010-10-23,0,0,0,ATL
2010-10-27,0,1,1,CAR
2010-10-28,1,0,1,MIN
2010-10-30,2,1,3,CGY
2010-11-03,0,2,2,TOR
2010-11-05,1,1,2,BOS
2010-11-07,0,1,1,PHI
2010-11-09,0,2,2,NYR
2010-11-11,1,2,3,TBL
2010-11-13,0,0,0,BUF
2010-11-14,1,1,2,ATL
2010-11-17,0,0,0,BUF
2010-11-19,0,0,0,ATL
2010-11-20,0,1,1,PHI
2010-11-22,0,0,0,NJD
2010-11-24,0,3,3,CAR
2010-11-26,0,2,2,TBL
2010-11-28,0,1,1,CAR
2010-12-01,0,1,1,STL
2010-12-02,0,0,0,DAL
2010-12-04,1,0,1,ATL
2010-12-06,1,0,1,TOR
2010-12-09,0,0,0,FLA
2010-12-11,0,1,1,COL
2010-12-12,0,0,0,NYR
2010-12-15,0,0,0,ANA
2010-12-18,0,1,1,BOS
2010-12-19,0,1,1,OTT
2010-12-21,0,1,1,NJD
2010-12-23,0,0,0,PIT
2010-12-26,1,1,2,CAR
2010-12-28,1,0,1,MTL
2011-01-01,0,0,0,PIT
2011-01-04,0,0,0,TBL
2011-01-08,1,1,2,FLA
2011-01-11,0,1,1,FLA
2011-01-12,0,0,0,TBL
2011-01-14,0,0,0,VAN
2011-01-16,0,0,0,OTT
2011-01-18,1,0,1,PHI
2011-01-20,0,2,2,NYI
2011-01-22,3,0,3,TOR
2011-01-24,0,0,0,NYR
2011-01-26,0,0,0,ATL
2011-02-01,0,0,0,MTL
2011-02-04,1,3,4,TBL
2011-02-06,0,0,0,PIT
2011-02-08,0,0,0,SJS
2011-02-12,1,0,1,LAK
2011-02-14,0,0,0,PHX
2011-02-16,1,1,2,ANA
2011-02-17,1,1,2,SJS
2011-02-20,0,1,1,BUF
2011-02-21,1,0,1,PIT
2011-02-25,0,0,0,NYR
2011-02-26,0,1,1,NYI
2011-03-01,1,1,2,NYI
2011-03-03,0,2,2,STL
2011-03-06,0,1,1,FLA
2011-03-07,0,1,1,TBL
2011-03-09,2,1,3,EDM
2011-03-11,1,0,1,CAR
2011-03-13,0,0,0,CHI
2011-03-15,0,1,1,MTL
2011-03-16,1,0,1,DET
2011-03-18,0,2,2,NJD
2011-03-29,0,0,0,CAR
2011-03-31,0,1,1,CBJ
2011-04-02,1,2,3,BUF
2011-04-05,1,0,1,TOR
2011-04-06,1,2,3,FLA
2011-04-09,0,0,0,FLA
2011-10-08,0,1,1,CAR
2011-10-10,0,0,0,TBL
2011-10-13,1,0,1,PIT
2011-10-15,0,0,0,OTT
2011-10-18,0,1,1,FLA
2011-10-20,2,0,2,PHI
2011-10-22,0,2,2,DET
2011-10-27,0,0,0,EDM
2011-10-29,2,0,2,VAN
2011-11-01,0,1,1,ANA
2011-11-04,0,2,2,CAR
2011-11-05,1,0,1,NYI
2011-11-08,0,0,0,DAL
2011-11-11,1,0,1,NJD
2011-11-12,0,0,0,NJD
2011-11-15,0,0,0,NSH
2011-11-17,0,0,0,WPG
2011-11-19,0,0,0,TOR
2011-11-21,0,1,1,PHX
