GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
2018-02-24,0,0,0,LAK
2018-02-25,0,3,3,ANA
2018-02-27,1,0,1,SJS
2018-03-01,1,1,2,NSH
2018-03-03,1,1,2,NYR
2018-03-05,0,1,1,ARI
2018-03-08,1,0,1,NYI
2018-03-10,2,1,3,MIN
2018-03-13,0,0,0,CGY
2018-03-14,0,2,2,SJS
2018-03-17,1,2,3,FLA
2018-03-18,0,0,0,TBL
2018-03-20,0,1,1,CAR
2018-03-22,2,2,4,OTT
2018-03-24,2,0,2,LAK
2018-03-25,1,2,3,ANA
2018-03-27,1,2,3,CBJ
2018-03-29,1,0,1,VAN
2018-03-31,0,0,0,CGY
2018-04-02,0,0,0,MIN
2018-04-05,0,3,3,VGK
2018-04-07,0,2,2,VAN
2018-10-06,0,2,2,NJD
2018-10-11,1,0,1,BOS
2018-10-13,1,1,2,NYR
2018-10-16,2,2,4,WPG
2018-10-18,0,2,2,BOS
2018-10-20,0,0,0,NSH
2018-10-23,1,1,2,PIT
2018-10-25,1,0,1,WSH
2018-10-27,1,1,2,NSH
2018-10-28,1,0,1,CHI
2018-10-30,1,0,1,MIN
2018-11-01,0,1,1,CHI
2018-11-03,0,2,2,DET
2018-11-05,1,0,1,WSH
2018-11-06,0,0,0,TBL
2018-11-08,0,1,1,FLA
2018-11-11,0,0,0,COL
2018-11-13,0,3,3,MTL
2018-11-17,1,0,1,CGY
2018-11-18,1,0,1,VGK
2018-11-20,1,2,3,SJS
2018-11-23,0,1,1,ANA
2018-11-25,0,1,1,LAK
2018-11-27,0,0,0,DAL
2018-11-29,0,1,1,LAK
2018-12-01,1,0,1,VGK
2018-12-05,0,1,1,STL
2018-12-07,1,3,4,MIN
2018-12-09,1,0,1,CGY
2018-12-11,1,1,2,COL
2018-12-13,0,2,2,WPG
2018-12-14,2,1,3,PHI
2018-12-16,0,1,1,VAN
2018-12-18,0,0,0,STL
2018-12-22,0,3,3,TBL
2018-12-27,0,2,2,VAN
2018-12-29,2,0,2,SJS
2018-12-31,0,2,2,WPG
2019-01-02,2,1,3,ARI
2019-01-05,0,0,0,LAK
2019-01-06,1,0,1,ANA
2019-01-08,0,1,1,SJS
2019-01-10,2,1,3,FLA
2019-01-12,1,0,1,ARI
2019-01-14,1,1,2,BUF
