GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1992-12-27,1,0,1,BUF
1992-12-31,0,0,0,TOR
1993-01-02,0,1,1,NYR
1993-01-05,1,2,3,BOS
1993-01-07,0,0,0,MNS
1993-01-09,0,0,0,CGY
1993-01-10,0,0,0,WIN
1993-01-14,0,0,0,BOS
1993-01-16,0,2,2,OTT
1993-01-19,0,2,2,VAN
1993-01-22,0,0,0,EDM
1993-01-23,1,1,2,CGY
1993-01-26,0,2,2,WSH
1993-01-28,0,0,0,NYI
1993-01-30,1,1,2,PHI
1993-01-31,0,0,0,WSH
1993-02-08,0,3,3,BOS
1993-02-10,0,2,2,NYR
1993-02-13,0,0,0,CHI
1993-02-14,1,0,1,BUF
1993-02-18,0,1,1,EDM
1993-02-20,1,0,1,NYI
1993-02-21,0,1,1,HFD
1993-02-23,1,0,1,NJD
1993-03-02,0,0,0,PHI
1993-03-05,0,0,0,NYR
1993-03-09,0,0,0,BOS
1993-03-11,2,0,2,LAK
1993-03-14,0,0,0,NYI
1993-03-18,1,1,2,WSH
1993-03-20,1,2,3,PHI
1993-03-21,1,0,1,EDM
1993-03-23,1,2,3,SJS
1993-03-25,1,0,1,NJD
1993-03-27,1,1,2,BOS
1993-03-28,0,0,0,WSH
1993-03-30,0,1,1,OTT
1993-04-01,0,2,2,HFD
1993-04-03,0,0,0,QUE
1993-04-04,1,1,2,NJD
1993-04-07,0,1,1,MTL
1993-04-09,1,1,2,NYR
1993-04-10,0,2,2,NYR
1993-04-14,0,2,2,NJD
1993-10-05,0,1,1,PHI
1993-10-07,0,0,0,MTL
1993-10-09,0,2,2,NYR
1993-10-10,1,1,2,QUE
1993-10-12,0,1,1,FLA
1993-10-14,1,0,1,TBL
1993-10-16,0,2,2,HFD
1993-10-19,0,1,1,NYI
1993-10-22,2,1,3,BUF
1993-10-23,0,0,0,STL
1993-10-28,0,0,0,QUE
1993-10-30,2,1,3,CHI
1993-11-02,0,0,0,SJS
1993-11-03,2,2,4,BUF
1993-11-06,0,1,1,LAK
1993-11-07,1,1,2,ANA
1993-11-09,0,1,1,STL
1993-11-11,0,0,0,CHI
1993-11-13,0,1,1,DET
1993-11-16,1,5,6,PHI
1993-11-18,0,1,1,WSH
1993-11-20,0,0,0,MTL
1993-11-24,1,0,1,BOS
1993-11-26,0,0,0,WSH
1993-11-27,1,1,2,OTT
1993-12-02,1,0,1,NJD
1993-12-04,1,3,4,HFD
1993-12-08,0,1,1,DAL
1993-12-11,0,0,0,TBL
1993-12-14,0,0,0,LAK
1993-12-16,0,0,0,BUF
1993-12-19,1,1,2,NYI
1993-12-21,0,1,1,TBL
1993-12-23,0,0,0,BOS
1993-12-26,0,0,0,WSH
1993-12-28,0,2,2,PHI
1993-12-31,0,0,0,QUE
1994-01-02,0,2,2,HFD
1994-01-03,1,0,1,OTT
1994-01-07,0,2,2,BUF
1994-01-08,0,0,0,CGY
1994-01-11,0,2,2,BOS
1994-01-13,0,1,1,FLA
1994-01-15,1,0,1,EDM
1994-01-18,1,1,2,QUE
1994-02-01,0,0,0,FLA
1994-02-04,0,1,1,DET
1994-02-05,1,1,2,NJD
1994-02-07,0,0,0,MTL
1994-02-10,1,0,1,NYI
1994-02-12,0,0,0,DAL
1994-02-13,0,0,0,PHI
1994-02-15,1,0,1,WIN
1994-02-17,0,0,0,HFD
1994-02-19,1,0,1,MTL
1994-02-21,1,1,2,NYR
1994-02-24,0,1,1,ANA
1994-02-26,2,0,2,BUF
1994-02-28,0,0,0,FLA
1994-03-04,1,0,1,BUF
1994-03-06,0,0,0,WIN
1994-03-08,0,2,2,BOS
1994-03-10,0,1,1,TOR
1994-03-12,1,1,2,NYR
1994-03-13,1,0,1,HFD
1994-03-15,0,3,3,WSH
1994-03-17,1,1,2,BOS
1994-03-19,0,2,2,VAN
1994-03-20,0,2,2,NYI
1994-03-22,0,1,1,SJS
1994-03-24,0,0,0,OTT
1994-03-26,0,2,2,CGY
1994-03-27,0,1,1,EDM
1994-03-30,0,1,1,VAN
1994-04-03,0,2,2,BOS
1994-04-04,1,0,1,TBL
1994-04-06,0,1,1,NJD
1994-04-08,1,1,2,NJD
1994-04-09,1,0,1,MTL
1994-04-11,0,3,3,OTT
1995-01-20,1,1,2,TBL
1995-01-23,1,0,1,FLA
1995-01-25,1,0,1,NYR
1995-01-27,1,1,2,OTT
1995-01-29,1,2,3,WSH
1995-02-01,0,0,0,NYR
1995-02-04,1,0,1,TBL
1995-02-05,1,2,3,NJD
1995-02-07,0,1,1,FLA
1995-02-09,1,3,4,NYI
1995-02-11,2,0,2,MTL
1995-02-14,3,1,4,BOS
1995-02-16,0,4,4,HFD
1995-02-18,0,0,0,HFD
1995-02-19,0,0,0,BUF
1995-02-21,1,1,2,QUE
1995-02-24,0,0,0,TBL
1995-02-25,0,0,0,NYI
1995-02-27,1,1,2,QUE
1995-03-02,1,0,1,BUF
1995-03-04,0,0,0,BOS
1995-03-05,0,0,0,PHI
1995-03-07,0,0,0,QUE
1995-03-09,0,0,0,NYI
1995-03-11,0,3,3,BUF
1995-03-13,1,0,1,MTL
1995-03-15,2,0,2,MTL
1995-03-16,1,1,2,QUE
1995-03-19,2,0,2,OTT
1995-03-21,0,1,1,BUF
1995-03-24,1,1,2,NJD
1995-03-26,0,0,0,FLA
1995-03-28,2,0,2,NYI
1995-04-01,0,2,2,PHI
1995-04-05,1,1,2,HFD
1995-04-08,0,0,0,MTL
1995-04-10,0,1,1,OTT
1995-04-11,1,2,3,WSH
1995-04-15,1,0,1,OTT
1995-04-16,0,0,0,PHI
1995-04-18,0,4,4,NYR
1995-04-22,0,0,0,WSH
1995-04-23,0,1,1,HFD
1995-04-26,0,1,1,NJD
1995-04-28,0,2,2,BOS
1995-04-30,2,0,2,BOS
1995-05-02,2,0,2,WSH
1995-05-03,0,1,1,FLA
1995-10-07,1,2,3,TOR
1995-10-09,2,3,5,COL
1995-10-12,0,0,0,CHI
1995-10-14,2,0,2,ANA
1995-10-20,0,1,1,HFD
1995-10-21,1,0,1,LAK
1995-10-26,1,2,3,NYI
1995-10-28,0,2,2,NJD
1995-11-01,2,1,3,TBL
1995-11-03,1,0,1,BUF
1995-11-04,1,2,3,PHI
1995-11-08,2,2,4,OTT
1995-11-10,2,2,4,SJS
1995-11-11,0,1,1,LAK
1995-11-14,0,0,0,DAL
1995-11-17,1,0,1,WSH
1995-11-18,0,3,3,WSH
1995-11-21,1,2,3,NYR
1995-11-22,0,1,1,NYR
1995-11-25,0,1,1,BUF
1995-11-28,2,1,3,OTT
1995-11-30,1,1,2,BOS
1995-12-01,2,0,2,FLA
1995-12-03,1,1,2,TBL
1995-12-05,1,0,1,NYI
1995-12-07,0,3,3,MTL
1995-12-09,1,3,4,HFD
1995-12-13,0,0,0,ANA
1995-12-15,1,1,2,DAL
1995-12-17,1,2,3,PHI
1995-12-19,1,2,3,CGY
1995-12-22,1,0,1,MTL
1995-12-23,0,0,0,MTL
1995-12-26,1,3,4,BUF
1995-12-28,2,2,4,HFD
1995-12-30,1,2,3,FLA
1996-01-01,1,0,1,WSH
1996-01-03,1,0,1,OTT
1996-01-05,0,1,1,DET
1996-01-06,0,0,0,STL
1996-01-08,0,2,2,VAN
1996-01-12,1,2,3,MTL
1996-01-13,1,0,1,SJS
1996-01-16,0,0,0,COL
1996-01-17,1,0,1,BUF
1996-01-22,2,2,4,BOS
1996-01-24,0,1,1,OTT
1996-01-27,0,2,2,PHI
1996-01-29,1,0,1,FLA
1996-01-31,0,0,0,TBL
1996-02-03,0,0,0,DET
1996-02-06,1,2,3,BOS
1996-02-07,1,0,1,NJD
1996-02-10,2,0,2,CHI
1996-02-12,0,0,0,TOR
1996-02-16,1,0,1,WIN
1996-02-18,2,0,2,NYR
1996-02-21,0,2,2,BUF
1996-02-23,2,0,2,HFD
1996-02-24,2,0,2,MTL
1996-02-27,2,2,4,VAN
1996-02-29,0,3,3,CGY
1996-03-01,1,2,3,EDM
1996-03-05,0,4,4,WIN
1996-03-07,0,2,2,OTT
1996-03-09,0,2,2,NJD
1996-03-13,0,0,0,HFD
1996-03-14,1,0,1,BOS
1996-03-16,0,0,0,NYI
1996-03-21,0,2,2,EDM
1996-03-23,1,1,2,BUF
1996-03-24,2,1,3,NYR
1996-03-26,0,1,1,STL
1996-03-28,1,0,1,FLA
1996-03-30,0,1,1,NJD
1996-03-31,0,0,0,PHI
1996-04-04,0,0,0,WSH
1996-04-06,1,0,1,TBL
1996-04-08,1,1,2,HFD
1996-04-10,0,1,1,NYI
1996-04-11,0,2,2,OTT
1996-04-14,0,2,2,BOS
1996-10-05,0,0,0,TBL
1996-10-08,0,0,0,HFD
1996-10-11,1,0,1,OTT
1996-10-12,1,0,1,OTT
1996-10-16,0,0,0,NYR
1996-10-17,1,0,1,BUF
1996-10-19,1,0,1,WSH
1996-10-22,0,1,1,EDM
1996-10-24,1,0,1,CGY
1996-10-26,1,0,1,VAN
1996-11-01,1,0,1,WSH
1996-11-02,3,1,4,OTT
1996-11-06,1,0,1,EDM
1996-11-08,2,1,3,TBL
1996-11-09,0,0,0,FLA
1996-11-12,2,1,3,BUF
1996-11-14,0,0,0,BOS
1996-11-16,0,2,2,NYR
1996-11-19,0,1,1,STL
1996-11-21,1,0,1,PHI
1996-11-22,2,0,2,HFD
1996-11-27,1,0,1,MTL
1996-11-30,3,1,4,BOS
1996-12-03,1,0,1,HFD
1996-12-04,1,1,2,OTT
1996-12-06,2,1,3,WSH
1996-12-07,1,1,2,ANA
1996-12-10,2,0,2,LAK
1996-12-11,0,2,2,ANA
1996-12-13,1,0,1,SJS
1996-12-15,0,0,0,CHI
1996-12-17,0,2,2,BOS
1996-12-19,0,4,4,STL
1996-12-21,0,1,1,SJS
1996-12-23,2,3,5,TOR
1996-12-26,1,0,1,MTL
1996-12-28,0,0,0,BUF
1996-12-30,0,1,1,WSH
1997-01-02,1,2,3,NJD
1997-01-04,1,1,2,TBL
