GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1966-12-17,0,0,0,MTL
1966-12-18,0,0,0,TOR
1966-12-21,1,0,1,DET
1966-12-25,0,0,0,NYR
1966-12-27,0,1,1,NYR
1966-12-31,1,1,2,TOR
1967-01-01,1,0,1,BOS
1967-01-04,0,1,1,MTL
1967-01-05,1,1,2,DET
1967-01-08,0,0,0,BOS
1967-01-11,1,0,1,DET
1967-01-12,0,0,0,DET
1967-01-14,0,2,2,NYR
1967-01-15,0,3,3,TOR
1967-01-19,0,0,0,BOS
1967-01-21,1,0,1,MTL
1967-01-22,0,2,2,MTL
1967-01-26,0,0,0,DET
1967-01-28,0,0,0,TOR
1967-01-29,1,0,1,TOR
1967-02-01,0,2,2,BOS
1967-02-04,0,0,0,MTL
1967-02-05,1,2,3,BOS
1967-02-08,0,2,2,MTL
1967-02-11,0,0,0,TOR
1967-02-12,0,0,0,DET
1967-02-16,2,0,2,DET
1967-02-18,0,0,0,NYR
1967-02-19,1,1,2,NYR
1967-02-25,1,3,4,BOS
1967-02-26,1,0,1,MTL
1967-03-01,0,1,1,NYR
1967-03-02,0,2,2,BOS
1967-03-04,0,0,0,TOR
1967-03-05,0,0,0,TOR
1967-03-08,0,1,1,BOS
1967-03-11,0,0,0,MTL
1967-03-12,0,2,2,TOR
1967-03-15,1,1,2,NYR
1967-03-18,1,1,2,TOR
1967-03-19,0,0,0,MTL
1967-03-22,0,0,0,NYR
1967-03-26,0,0,0,DET
1967-03-28,1,1,2,DET
1967-03-30,1,1,2,BOS
1967-04-01,1,1,2,MTL
1967-04-02,0,0,0,NYR
1967-10-11,0,0,0,DET
1967-10-15,4,0,4,MTL
1967-10-18,0,1,1,CHI
1967-10-19,1,0,1,DET
1967-10-21,0,0,0,MTL
1967-10-26,0,0,0,LAK
1967-10-29,1,0,1,PIT
1967-11-01,0,0,0,STL
1967-11-05,0,0,0,TOR
1967-11-08,0,2,2,NYR
1967-11-11,0,2,2,OAK
1967-11-12,1,1,2,PHI
1967-11-15,0,0,0,TOR
1967-11-18,0,1,1,NYR
1967-11-19,1,0,1,TOR
1967-11-22,0,0,0,PIT
1967-11-23,1,1,2,NYR
1967-11-25,1,0,1,MTL
1967-11-26,0,1,1,DET
1967-11-29,0,0,0,MNS
1967-12-02,0,1,1,CHI
1967-12-03,0,1,1,MTL
1967-12-07,0,1,1,NYR
1967-12-09,0,0,0,TOR
1967-12-10,0,0,0,LAK
1967-12-13,1,1,2,MTL
1967-12-15,0,1,1,OAK
1967-12-16,1,0,1,LAK
1967-12-20,0,1,1,CHI
1967-12-23,0,1,1,NYR
1967-12-25,0,1,1,OAK
1967-12-27,3,1,4,CHI
1967-12-30,0,0,0,MNS
1967-12-31,1,1,2,DET
1968-01-03,1,0,1,NYR
1968-01-04,2,1,3,PHI
1968-01-06,0,0,0,TOR
1968-01-07,0,0,0,CHI
1968-01-11,2,1,3,DET
1968-01-13,0,0,0,MTL
1968-01-14,2,2,4,MNS
1968-01-18,0,0,0,TOR
1968-01-20,0,1,1,PHI
1968-01-21,1,0,1,CHI
1968-01-24,0,1,1,NYR
1968-01-25,0,0,0,MTL
1968-01-27,1,0,1,MTL
1968-01-28,0,0,0,PIT
1968-02-01,0,3,3,CHI
1968-02-03,1,0,1,NYR
1968-02-04,0,0,0,DET
1968-02-07,2,0,2,STL
1968-02-10,0,0,0,DET
1968-02-11,0,1,1,STL
1968-02-14,0,0,0,CHI
1968-02-17,0,0,0,OAK
1968-02-18,1,3,4,LAK
1968-02-21,0,0,0,MNS
1968-02-22,1,0,1,DET
1968-02-24,0,0,0,TOR
1968-02-27,0,3,3,PIT
1968-02-29,0,0,0,TOR
1968-03-03,0,4,4,STL
1968-03-06,1,2,3,CHI
1968-03-07,0,0,0,PHI
1968-03-10,0,2,2,DET
1968-03-13,0,1,1,NYR
1968-03-16,0,0,0,TOR
1968-03-17,1,0,1,MTL
1968-03-21,1,2,3,CHI
1968-03-24,0,0,0,DET
1968-03-28,1,1,2,NYR
1968-03-30,0,2,2,MTL
1968-03-31,1,0,1,TOR
1968-10-11,1,0,1,DET
1968-10-13,1,1,2,PHI
