GAME_DATE,GOALS,ASSISTS,POINTS,OPPONENT
1987-01-27,1,0,1,WSH
1987-01-29,1,1,2,PHI
1987-02-01,2,0,2,HFD
1987-02-05,3,2,5,BOS
1987-02-07,0,2,2,CHI
1987-02-08,0,0,0,NJD
1987-02-14,1,2,3,VAN
1987-02-15,0,0,0,NYR
1987-02-24,0,0,0,EDM
1987-02-26,1,1,2,NYI
1987-02-28,0,1,1,CHI
1987-03-01,1,0,1,STL
1987-03-03,2,1,3,QUE
1987-03-05,0,0,0,TOR
1987-03-07,2,0,2,MNS
1987-03-08,3,1,4,WIN
1987-03-10,0,1,1,NYI
1987-03-12,3,2,5,QUE
1987-03-14,0,2,2,NYR
1987-03-18,1,2,3,STL
1987-03-20,0,0,0,WSH
1987-03-22,0,0,0,PHI
1987-03-24,0,1,1,PHI
1987-03-28,1,0,1,HFD
1987-03-29,0,0,0,MTL
1987-03-31,0,2,2,NJD
1987-04-02,0,1,1,NJD
1987-04-04,1,1,2,DET
1987-10-08,0,3,3,NYR
1987-10-09,0,0,0,NJD
1987-10-13,0,4,4,BUF
1987-10-15,3,2,5,NYR
1987-10-17,1,0,1,MTL
1987-10-18,0,1,1,PHI
1987-10-21,1,1,2,NJD
1987-10-23,1,1,2,DET
1987-10-24,3,0,3,BUF
1987-10-27,2,0,2,LAK
1987-10-29,0,0,0,TOR
1987-10-31,2,1,3,QUE
1987-11-03,2,0,2,PHI
1987-11-05,0,0,0,NYI
1987-11-14,1,1,2,NYR
1987-11-17,1,2,3,VAN
1987-11-20,0,1,1,EDM
1987-11-21,1,2,3,CGY
1987-11-25,2,2,4,QUE
1987-11-27,0,2,2,WSH
1987-11-28,1,0,1,WSH
1987-12-02,0,0,0,NYI
1987-12-05,2,0,2,VAN
1987-12-09,1,3,4,CGY
1987-12-11,1,4,5,NYI
1987-12-12,0,0,0,STL
1987-12-15,0,2,2,PHI
1987-12-17,2,1,3,NJD
1987-12-19,1,2,3,NYR
1987-12-20,2,2,4,NYR
1987-12-23,0,1,1,NJD
1987-12-26,1,2,3,DET
1987-12-27,0,1,1,BUF
1987-12-29,0,0,0,BOS
1988-01-01,0,3,3,WSH
1988-01-02,1,0,1,NYI
1988-01-05,3,0,3,LAK
1988-01-07,0,1,1,BOS
1988-01-09,1,2,3,HFD
1988-01-10,4,0,4,DET
1988-01-12,2,0,2,NYI
1988-01-15,2,1,3,PHI
1988-01-16,1,2,3,TOR
1988-01-19,1,2,3,NYI
1988-01-20,1,2,3,CHI
1988-01-23,0,1,1,MTL
1988-01-25,0,1,1,EDM
1988-01-27,1,0,1,WIN
1988-01-28,0,1,1,NJD
1988-01-30,0,2,2,CHI
1988-02-02,2,0,2,WSH
1988-02-04,0,0,0,MNS
1988-02-06,2,1,3,HFD
1988-02-07,0,2,2,NYR
1988-02-13,1,5,6,LAK
1988-02-17,0,0,0,VAN
1988-02-19,0,1,1,EDM
1988-02-21,1,1,2,STL
1988-02-23,0,1,1,WIN
1988-02-25,0,0,0,NYR
1988-02-28,0,2,2,CHI
1988-03-01,2,1,3,MNS
1988-03-05,0,3,3,NYI
1988-03-07,1,1,2,CGY
1988-03-10,0,0,0,STL
1988-03-12,0,1,1,MNS
1988-03-13,0,4,4,WIN
1988-03-16,1,2,3,TOR
1988-03-19,1,3,4,PHI
1988-03-20,1,0,1,PHI
1988-03-23,1,2,3,WSH
1988-03-25,2,3,5,MTL
1988-03-27,2,3,5,QUE
1988-03-29,0,0,0,NJD
1988-03-31,0,2,2,NJD
1988-04-02,4,0,4,WSH
1988-04-03,1,1,2,HFD
1988-10-07,0,1,1,WSH
1988-10-11,3,2,5,WSH
1988-10-12,1,0,1,BUF
1988-10-15,2,6,8,STL
1988-10-18,3,1,4,PHI
1988-10-21,2,1,3,NJD
1988-10-22,2,2,4,CHI
1988-10-25,2,3,5,CGY
1988-10-27,0,2,2,STL
1988-10-29,1,3,4,MTL
1988-10-30,0,1,1,NYR
1988-11-01,2,1,3,VAN
1988-11-03,0,0,0,QUE
1988-11-10,0,0,0,TOR
1988-11-12,1,1,2,LAK
1988-11-13,1,3,4,VAN
1988-11-16,1,3,4,TOR
1988-11-19,0,1,1,NYI
1988-11-23,1,4,5,NYR
1988-11-25,1,2,3,WSH
1988-11-26,0,0,0,PHI
1988-11-30,1,0,1,WSH
1988-12-03,0,1,1,NYI
1988-12-04,0,2,2,BOS
1988-12-06,1,4,5,CHI
1988-12-08,1,0,1,PHI
1988-12-10,2,0,2,NJD
1988-12-14,2,2,4,LAK
1988-12-15,1,4,5,NYI
1988-12-17,0,1,1,DET
1988-12-20,2,2,4,NYI
1988-12-21,3,2,5,TOR
1988-12-23,0,1,1,NJD
1988-12-26,1,2,3,HFD
1988-12-29,1,0,1,PHI
1988-12-31,5,3,8,NJD
1989-01-02,0,0,0,WSH
1989-01-07,0,2,2,VAN
1989-01-10,3,0,3,NYI
1989-01-12,1,3,4,MNS
1989-01-14,0,2,2,NYR
1989-01-15,2,0,2,NYR
1989-01-17,0,2,2,NYI
1989-01-20,1,2,3,WIN
1989-01-21,2,5,7,EDM
1989-01-25,1,3,4,WIN
1989-01-28,1,3,4,DET
1989-01-31,0,0,0,MTL
1989-02-02,0,2,2,PHI
1989-02-03,1,0,1,STL
1989-02-05,0,1,1,BOS
1989-02-09,1,3,4,QUE
1989-02-11,1,0,1,QUE
1989-02-12,1,1,2,CGY
1989-02-14,3,2,5,BUF
1989-02-17,1,0,1,BUF
1989-02-18,0,0,0,NYR
1989-02-21,0,1,1,MNS
1989-02-23,0,5,5,DET
1989-02-25,2,0,2,NYI
1989-02-26,1,3,4,HFD
1989-03-01,0,3,3,NJD
1989-03-03,0,0,0,WSH
1989-03-05,0,0,0,EDM
1989-03-07,1,1,2,LAK
1989-03-09,0,1,1,CGY
1989-03-10,1,0,1,WIN
1989-03-12,3,3,6,CHI
1989-03-14,2,0,2,BOS
1989-03-20,0,1,1,MNS
1989-03-22,2,1,3,WSH
1989-03-25,3,0,3,NJD
1989-03-26,2,2,4,NYR
1989-03-30,4,0,4,HFD
1989-04-01,0,1,1,NYR
1989-04-02,2,0,2,PHI
1989-10-05,0,2,2,BOS
1989-10-07,0,3,3,NJD
1989-10-10,0,1,1,WIN
1989-10-14,0,2,2,MTL
1989-10-15,1,0,1,NYR
1989-10-17,3,2,5,TOR
1989-10-18,0,0,0,STL
1989-10-21,0,0,0,BUF
1989-10-25,0,1,1,TOR
1989-10-26,1,2,3,DET
1989-10-28,0,0,0,MTL
1989-10-31,0,2,2,LAK
1989-11-02,1,0,1,NYI
1989-11-04,0,3,3,EDM
1989-11-05,1,0,1,VAN
1989-11-09,1,1,2,CHI
1989-11-11,1,2,3,STL
1989-11-14,1,0,1,NYR
1989-11-16,1,2,3,QUE
1989-11-18,0,3,3,NYI
1989-11-22,0,3,3,NJD
1989-11-24,1,2,3,WSH
1989-11-25,1,0,1,WSH
1989-11-28,0,2,2,PHI
1989-11-30,0,1,1,PHI
1989-12-02,3,1,4,QUE
1989-12-06,1,0,1,WSH
1989-12-08,1,0,1,NJD
1989-12-09,1,1,2,CHI
1989-12-12,1,1,2,BOS
1989-12-14,0,1,1,MNS
1989-12-16,0,1,1,CGY
1989-12-19,0,2,2,HFD
1989-12-21,1,2,3,WSH
1989-12-23,0,3,3,NYI
1989-12-26,1,0,1,WSH
1989-12-27,2,3,5,NYR
1989-12-31,1,2,3,NYR
1990-01-02,1,1,2,BOS
1990-01-04,0,2,2,VAN
1990-01-06,1,1,2,WIN
1990-01-08,4,0,4,NYR
1990-01-10,0,1,1,NJD
1990-01-12,1,1,2,WSH
1990-01-16,0,1,1,PHI
1990-01-18,2,0,2,NYR
1990-01-23,0,1,1,NJD
1990-01-25,1,3,4,DET
1990-01-27,0,2,2,NYI
1990-01-28,1,0,1,BUF
1990-01-30,0,3,3,PHI
1990-02-02,3,1,4,EDM
1990-02-03,1,1,2,TOR
1990-02-06,2,3,5,NYI
1990-02-08,1,4,5,WSH
1990-02-10,0,1,1,LAK
1990-02-11,1,0,1,PHI
1990-02-14,0,0,0,NYR
1990-03-31,1,1,2,BUF
1991-01-26,0,3,3,QUE
1991-01-29,1,1,2,WSH
1991-01-31,1,0,1,PHI
1991-02-02,0,0,0,BOS
1991-02-08,1,1,2,WIN
1991-02-11,1,2,3,EDM
1991-02-14,1,0,1,NYI
1991-02-16,1,0,1,NYI
1991-02-19,0,4,4,BUF
1991-02-21,1,3,4,TOR
1991-02-24,1,2,3,WSH
1991-02-26,0,1,1,LAK
1991-02-27,0,1,1,VAN
1991-03-01,1,0,1,CGY
1991-03-05,1,1,2,VAN
1991-03-07,0,2,2,LAK
1991-03-09,1,1,2,HFD
1991-03-10,0,0,0,NYI
1991-03-12,1,0,1,MTL
1991-03-16,0,0,0,QUE
1991-03-17,2,1,3,NYR
1991-03-19,1,1,2,NJD
1991-03-21,0,0,0,NYR
1991-03-23,1,1,2,CHI
1991-03-26,3,0,3,PHI
1991-03-30,0,1,1,PHI
1991-10-04,1,1,2,BUF
1991-10-06,0,1,1,PHI
1991-10-10,1,0,1,PHI
1991-10-12,0,1,1,NJD
1991-10-15,3,0,3,NYI
1991-10-17,0,3,3,NYI
1991-10-19,0,2,2,NYR
1991-10-29,0,0,0,WSH
1991-10-31,2,1,3,MNS
1991-11-02,2,1,3,HFD
